Epoch   d_clean_loss    d_noisy_loss    g_loss  g_conditional_loss    time
1       0.25248703360557556     0.18932406604290009     1.1616148948669434      0.9833624362945557      02:12:22.470568
2       0.24568554759025574     0.2373901605606079      0.9832897186279297      0.8338847160339355      02:13:28.863542
3       0.2476830631494522      0.21556532382965088     0.8363062143325806      0.6864263415336609      02:14:33.924368
4       0.25395387411117554     0.22478783130645752     0.7820884585380554      0.6372831463813782      02:15:39.051428
5       0.24229077994823456     0.23870599269866943     0.7403433322906494      0.6015663146972656      02:16:44.052370
6       0.23991437256336212     0.25739535689353943     0.712948739528656       0.5913437604904175      02:17:50.546834
7       0.22510722279548645     0.26777130365371704     0.6875681281089783      0.5585430264472961      02:18:55.619595
8       0.2578493654727936      0.24009835720062256     0.7206668257713318      0.589059591293335       02:20:00.722504
9       0.24009139835834503     0.2532798945903778      0.6939072012901306      0.5694894790649414      02:21:05.837787
10      0.23866181075572968     0.25787413120269775     0.7278534770011902      0.6023741364479065      02:22:11.011304
11      0.2521929144859314      0.23439562320709229     0.6769147515296936      0.5389939546585083      02:23:17.883584
12      0.24745868146419525     0.24830275774002075     0.7134687900543213      0.5831506848335266      02:24:22.962773
13      0.2379271537065506      0.26078298687934875     0.5829668045043945      0.4635095000267029      02:25:28.044807
14      0.2450706660747528      0.251380056142807       0.6401380896568298      0.5127568244934082      02:26:33.087983
15      0.2486065924167633      0.2505647838115692      0.6319767832756042      0.5072851777076721      02:27:38.269591
16      0.2340114712715149      0.2658727765083313      0.7102728486061096      0.5894693732261658      02:28:45.011972
17      0.2507695257663727      0.24761775135993958     0.570441722869873       0.4445748031139374      02:29:50.120831
18      0.23888468742370605     0.23855480551719666     0.7561671733856201      0.6131760478019714      02:30:55.159186
19      0.23484459519386292     0.2617233991622925      0.6329513192176819      0.5111044645309448      02:32:00.178592
20      0.24424761533737183     0.2534394860267639      0.5875056982040405      0.46246472001075745     02:33:05.201544
21      0.24933508038520813     0.2478160560131073      0.6123967170715332      0.48451822996139526     02:34:11.486622
22      0.24823924899101257     0.2527181804180145      0.5258369445800781      0.40166521072387695     02:35:16.433090
23      0.24788686633110046     0.25255921483039856     0.6054491996765137      0.48190397024154663     02:36:21.420376
24      0.24359960854053497     0.2532654106616974      0.5872422456741333      0.4632413387298584      02:37:26.357961
25      0.2532931864261627      0.2484874427318573      0.5359845161437988      0.4110204875469208      02:38:31.317229
26      0.24924802780151367     0.2505755126476288      0.6261376142501831      0.5012417435646057      02:39:37.542414
27      0.24553214013576508     0.25435662269592285     0.6009426712989807      0.47656771540641785     02:40:42.560113
28      0.2536110579967499      0.24500690400600433     0.5276975631713867      0.4000067710876465      02:41:47.555294
29      0.2516261339187622      0.2478760927915573      0.5281791090965271      0.4018361568450928      02:42:52.546089
30      0.25525495409965515     0.24270576238632202     0.6032888889312744      0.47391727566719055     02:43:57.526029
31      0.2538118064403534      0.24545744061470032     0.5285918712615967      0.39639735221862793     02:45:03.813766
32      0.24928158521652222     0.23969894647598267     0.5520119667053223      0.4187474548816681      02:46:08.756699
33      0.26672855019569397     0.23207467794418335     0.4855636954307556      0.3496054410934448      02:47:13.710792
34      0.19340214133262634     0.30167609453201294     0.607890784740448       0.4961560070514679      02:48:18.672178
35      0.23221158981323242     0.2609918713569641      0.5801786780357361      0.44685667753219604     02:49:23.669553
36      0.23999057710170746     0.24564437568187714     0.5751555562019348      0.44601666927337646     02:50:30.014098
